text,emotion,dialog_idx,utterance_idx,speaker,act,cleaned_text,original_emotion,mapped_emotion,emotion_id,is_augmented
Toilets are in the rear. I'm afraid all the toilets are fully occupied at the moment.,depression,1143,6,1,inform,Toilets are in the rear. I am afraid all the toilets are fully occupied at the moment.,sadness,depression,0,False
It is stupid to say so.,anger,2245,5,0,inform,It is stupid to say so.,anger,anger,3,False
Don't you know that? It's panda.,calm_neutral,2156,1,1,question,Do not you know that? It is panda.,no emotion,calm_neutral,11,False
"I'm sorry, but we usually don't do it. It is our policy.",depression,1386,10,0,commissive,"I am sorry, but we usually do not do it. It is our policy.",sadness,depression,0,False
I'm afraid it is. So you will have to pay two yuan extra. The total charge is four yuan.,depression,922,9,1,inform,I am afraid it is. So you will have to pay two yuan extra. The total charge is four yuan.,sadness,depression,0,True
"Umm the food station was as crowded as usual. I waited for twenty minutes for my sandwich, and when I finally got it the chicken was underdone.",anger,808,3,0,inform,"Umm the food station was as crowded as usual. I waited for twenty minutes for my sandwich, and when I finally got it the chicken was underdone.",disgust,anger,3,False
How long will it take to get the results?,calm_neutral,1480,8,0,question,How long will it take to get the results?,no emotion,calm_neutral,11,False
"Thank you, I'll wait here.",happiness,1401,4,0,commissive,"Thank you, I will wait here.",happiness,happiness,8,False
"Yes, I do. Leave me alone!",anger,1754,8,0,inform,"Yes, I do. Leave me alone!",disgust,anger,3,False
My stress level is pretty much what is usually is.,depression,1546,7,1,inform,My stress level is pretty much what is usually is.,sadness,depression,0,False
"( looking at a newspaper ) Oh, dear me! There's no performance at the National theater this weekend. So we have to go to cinema instead.",excitement,1997,4,1,directive,"( looking at a newspaper ) Oh, dear me! There is no performance at the National theater this weekend. So we have to go to cinema instead.",surprise,excitement,10,False
I just watched a movie and I'm scared.,anxiety,1649,3,0,inform,I just watched a movie and I am scared.,fear,anxiety,1,False
It’s the worst thing I’ve ever tried.,anger,70,7,1,inform,It is the worst thing I have ever tried.,disgust,anger,3,False
That's incredible!,excitement,2104,4,0,inform,That is incredible!,surprise,excitement,10,False
"I am afraid your diamond bracelet has gone, darling!",anxiety,2268,2,0,inform,"I am afraid your diamond bracelet has gone, darling!",fear,anxiety,1,False
"Sir, wait!! I need your address!",calm_neutral,1742,8,1,directive,"Sir, wait!! I need your address!",no emotion,calm_neutral,11,False
Where? my car?,excitement,2517,3,0,question,Where? my car?,surprise,excitement,10,False
"Hello, Zhang lin! Fancy meeting you here!",excitement,456,0,0,inform,"Hello, Zhang lin! Fancy meeting you here!",surprise,excitement,10,False
"Thank you, Henry. I'll get a number thirteen.",happiness,412,7,1,inform,"Thank you, Henry. I will get a number thirteen.",happiness,happiness,8,False
That's an excellent idea.,happiness,1720,5,1,inform,That is an excellent idea.,happiness,happiness,8,False
"Yes, if we do business through other ways, it will cost a lot of time.",calm_neutral,1708,6,1,inform,"Yes, if we do business through other ways, it will cost a lot of time.",no emotion,calm_neutral,11,False
Sounds very interesting. I can't wait to go there.,happiness,266,4,1,commissive,Sounds very interesting. I cannot wait to go there.,happiness,happiness,8,False
This is usually my chore.,calm_neutral,1842,2,0,inform,This is usually my chore.,no emotion,calm_neutral,11,False
Umm I am sorry. I am very tired. I'm going to bed early.,depression,727,4,1,commissive,"Lately, umm i am sorry. i am very tired. i am going to bed early.",sadness,depression,0,True
So soon? Why don't you stay a little longer?,excitement,2174,1,0,directive,So soon? Why do not you stay a little longer?. This has been going on for a while,surprise,excitement,10,True
That sounds absolutely disgusting!,anger,896,8,0,inform,That sounds absolutely disgusting!. This has been going on for a while,disgust,anger,3,True
"Well, then, may I invite you for the next dance?",happiness,2092,2,1,directive,"Well, then, may I invite you for the next dance?",happiness,happiness,8,False
How in the world did you guess that? Did someone tell you already?,excitement,1950,2,0,question,How in the world did you guess that? Did someone tell you already?,surprise,excitement,10,True
The guy always hands the girls in a line. When did he propose?,happiness,2490,5,1,question,The guy always hands the girls in a line. When did he propose?,happiness,happiness,8,True
"I will, sir. I'm really very sorry.",depression,756,9,1,inform,"I will, sir. I am really very sorry.",sadness,depression,0,False
"( looking at a newspaper ) Oh, dear me! There's no performance at the National theater this weekend. So we have to go to cinema instead.",excitement,1997,4,1,directive,"( looking at a newspaper ) Oh, dear me! There is no performance at the National theater this weekend. So we have to go to cinema instead.",surprise,excitement,10,False
I suppose I don't want that one then. I don't like auto-reverse. It breaks too easily.,calm_neutral,1226,7,1,commissive,I suppose I do not want that one then. I do not like auto-reverse. It breaks too easily.,no emotion,calm_neutral,11,False
Hello. Umm I want to reconfirm our flight to London.,calm_neutral,1155,0,0,directive,Hello. Umm I want to reconfirm our flight to London.,no emotion,calm_neutral,11,False
"Sorry, we can’t come down any more.",depression,1374,9,0,inform,"Sorry, we cannot come down any more.",sadness,depression,0,False
And let them ruin my life? Forget it!,anger,895,2,1,inform,And let them ruin my life? Forget it!,anger,anger,3,False
"Sorry, sir. That table has been reserved. This way, please. How about this one, sir?",depression,1691,4,1,directive,"Sorry, sir. That table has been reserved. This way, please. How about this one, sir?",sadness,depression,0,False
It's sounds like fun.,happiness,51,2,0,inform,I really feel it is sounds like fun.,happiness,happiness,8,True
Is it a horror movie?,anxiety,1454,1,0,question,Is it a horror movie? and it's affecting me deeply,fear,anxiety,1,True
I see. We have already received many bookings and though I can't guarantee anything. I hope you'll understand.,happiness,1623,10,1,commissive,I see. We have already received many bookings and though I cannot guarantee anything. I hope you will understand.,happiness,happiness,8,False
"I can not stop coughing, and I can not stop sneezing. I vomited blood last night. Sorry, I am coughing again.",depression,1811,11,1,inform,"I can not stop coughing, and I can not stop sneezing. I vomited blood last night. Sorry, I am coughing again.",sadness,depression,0,False
"Oh, look! There's a spot open next to the public restroom! Can I take it?",happiness,732,6,1,question,"Oh, look! There is a spot open next to the public restroom! Can I take it?",happiness,happiness,8,False
Oh! How could I forget such an important holiday?,excitement,236,3,0,inform,Oh! How could I forget such an important holiday?,surprise,excitement,10,False
No. I'm afraid the price is too low.,depression,2453,5,0,inform,No. I am afraid the price is too low.,sadness,depression,0,False
"The thing is, this isn't the first time she's promised to do something and then didn't.",anger,587,6,0,inform,"The thing is, this is not the first time she is promised to do something and then did not.",anger,anger,3,False
That must have been wonderful. Do anything interesting?,happiness,319,2,1,question,That must have been wonderful. Do anything interesting?,happiness,happiness,8,False
"No, cats are too dirty. They are lazy and cunning. I don’t like them at all.",anger,1297,3,0,inform,"No, cats are too dirty. They are lazy and cunning. I do not like them at all.",disgust,anger,3,False
"She's chic, isn't she?",happiness,1181,6,0,question,"She is chic, is not she?",happiness,happiness,8,False
"Science? What are you talking about? Forget about your science, OK? It's a picnic!",excitement,1475,12,0,directive,"Science? What are you talking about? Forget about your science, OK? It is a picnic!",surprise,excitement,10,False
"Umm to be honest, I'm a bit fed up.",anger,587,2,0,inform,"Umm to be honest, I am a bit fed up.",anger,anger,3,False
"Yes, and please be more careful in the future!",anger,756,8,0,inform,"Yes, and please be more careful in the future!",anger,anger,3,False
"Oh! I'm sorry, but I wish you could stay.",excitement,1605,3,1,inform,"Oh! I am sorry, but I wish you could stay.",surprise,excitement,10,False
It was! But the worst thing was I tore my best shirt.,depression,884,5,0,inform,It was! But the worst thing was I tore my best shirt.,sadness,depression,0,False
My wife and I didn't used to spend this much money.,calm_neutral,112,0,0,inform,My wife and I did not used to spend this much money.,no emotion,calm_neutral,11,False
Really? How did you get the chance?,excitement,393,3,1,question,Really? How did you get the chance?,surprise,excitement,10,False
Oooo... gross... you're sweating all over the place.,anger,1601,3,1,commissive,Oooo... gross... you are sweating all over the place.,disgust,anger,3,False
"Because I'm the wrong sex, of course!",anger,1549,6,1,inform,"Because I am the wrong sex, of course!",anger,anger,3,True
Hi. are you new here?,happiness,1570,0,0,question,"Lately, hi. are you new here?",happiness,happiness,8,True
I don't think that you're done.,anger,1520,4,1,inform,I do not think that you are done.,anger,anger,3,False
I don't like anything about it.,anger,1960,8,1,inform,I really feel i do not like anything about it.,disgust,anger,3,True
Sorry. I didn't know.,depression,1778,1,1,commissive,Sorry. I did not know.,sadness,depression,0,False
I can’t believe it! I thought the Cougars were going to win for sure.,anger,2222,4,0,inform,"Lately, i cannot believe it! i thought the cougars were going to win for sure.",anger,anger,3,True
That's incredible. I cannot believe it.,excitement,1345,3,0,inform,That is incredible. I cannot believe it.,surprise,excitement,10,False
I fell down and hurt my arm.,depression,12,2,1,inform,I fell down and hurt my arm.,sadness,depression,0,False
That sounds good. Did you study cooking in school?,happiness,1322,13,0,question,That sounds good. Did you study cooking in school?,happiness,happiness,8,False
Forget it! It was a bitter pill for me to swallow.,anger,94,3,1,inform,Forget it! It was a bitter pill for me to swallow.. This has been going on for a while,anger,anger,3,True
Umm I am sorry. I am very tired. I'm going to bed early.,depression,727,4,1,commissive,"Lately, umm i am sorry. i am very tired. i am going to bed early.",sadness,depression,0,True
I'm afraid I'm going to the gym for a workout.,depression,218,1,1,inform,I am afraid I am going to the gym for a workout.,sadness,depression,0,False
That's no problem.,happiness,204,8,0,commissive,That is no problem.,happiness,happiness,8,False
I think you've got a cold.,calm_neutral,1045,3,1,inform,I think you have got a cold.,no emotion,calm_neutral,11,False
I’d better go tomorrow.,depression,343,5,1,directive,I would better go tomorrow.,sadness,depression,0,False
Yes! Isn't that exciting?,happiness,2440,6,0,question,Yes! Is not that exciting?,happiness,happiness,8,False
"Oh, God! I didn't touch anybody. How can I commit a foul?",excitement,987,7,0,question,"Oh, God! I did not touch anybody. How can I commit a foul?. This has been going on for a while",surprise,excitement,10,True
"Sorry, I made a mistake. They're on the right side of the TV.",depression,1180,17,0,inform,"Sorry, I made a mistake. They are on the right side of the TV.",sadness,depression,0,True
We’re in the same boat! I’ve eaten fast food the whole week. I hate it now.,anger,1910,5,0,inform,We are in the same boat! I have eaten fast food the whole week. I hate it now.,anger,anger,3,False
What a thrilling trip!,anxiety,1221,8,1,inform,I really feel what a thrilling trip!,fear,anxiety,1,True
"Oh, right. So, I can’t quite follow what’s going on... who’s winning?",happiness,1468,2,1,question,"Oh, right. So, I cannot quite follow what is going on... who is winning?",happiness,happiness,8,False
Thanks. I'd love to. What time is the show?,happiness,1848,1,1,question,Thanks. I would love to. What time is the show?,happiness,happiness,8,False
"Yes, a low fever. I feel terrible. Am I dying?",depression,2112,3,1,question,"Honestly, Yes, a low fever. I feel terrible. Am I dying?",sadness,depression,0,True
"Only sometimes when I think about it, I feel very sad.",depression,1270,3,1,inform,"Only sometimes when I think about it, I feel very sad.",sadness,depression,0,False
OK. Thank you very much.,calm_neutral,1277,5,0,inform,OK. Thank you very much.,no emotion,calm_neutral,11,False
I'm worried that everything will be chaotic!,anxiety,658,3,1,inform,I am worried that everything will be chaotic!,fear,anxiety,1,False
"Oh, the clothes here are so expensive! No wonder there are few people.",excitement,1603,0,0,inform,"Oh, the clothes here are so expensive! No wonder there are few people.",surprise,excitement,10,False
"I am sorry, it's out of stock right now.",depression,1220,4,1,inform,"I am sorry, it is out of stock right now.",sadness,depression,0,False
"I decided to put him up while he's here, big mistake!",anger,1967,5,1,inform,"I decided to put him up while he is here, big mistake!",disgust,anger,3,False
It must be a haunted house. Are you frightened?,anxiety,2435,11,0,question,It must be a haunted house. Are you frightened?,fear,anxiety,1,False
I went to the library and lost my bag.,depression,1380,3,1,inform,"Honestly, I went to the library and lost my bag.",sadness,depression,0,True
"I see. Oh, wait. Ma'am, I'm sorry. These slacks were on sale.",depression,1386,6,0,inform,"I see. Oh, wait. Madam, I am sorry. These slacks were on sale.",sadness,depression,0,False
I'm afraid you'll have to find a parking meter.,depression,774,2,1,directive,I am afraid you will have to find a parking meter.,sadness,depression,0,False
"Twenty to one, in favour of the Cougars!",anger,2222,6,0,inform,"Twenty to one, in favour of the Cougars!",anger,anger,3,False
It's all good. I'll show you all the right moves. My name's Malik.,happiness,715,2,0,directive,"Lately, it is all good. i will show you all the right moves. my name's malik.",happiness,happiness,8,True
"That's a very difficult language to learn, isn't it?",calm_neutral,1765,13,0,question,"That is a very difficult language to learn, is not it?",no emotion,calm_neutral,11,False
Really? Is that why you wanted to come to the play?,excitement,2067,5,0,question,Really? Is that why you wanted to come to the play?,surprise,excitement,10,False
I feel very nervous about it.,anxiety,855,5,1,inform,I feel very nervous about it.,fear,anxiety,1,False
And you didn't think to leave them my cell phone?,anger,2327,7,1,question,And you did not think to leave them my cell phone?,anger,anger,3,False
There will be a parents' meeting in our class this Saturday and I am worried about it.,depression,440,1,1,inform,There will be a parents' meeting in our class this Saturday and I am worried about it.,sadness,depression,0,False
"Oh, my god! Only two hours left before the plane takes off. We need to be at the airport now.",excitement,2197,12,0,inform,"Oh, my god! Only two hours left before the plane takes off. We need to be at the airport now.",surprise,excitement,10,False
You can't be serious.,excitement,657,4,1,inform,You cannot be serious.,surprise,excitement,10,False
Excuse me! I don't have time to waste. I've been here almost one full hour!,anger,732,0,1,inform,Excuse me! I do not have time to waste. I have been here almost one full hour!,anger,anger,3,False
One hundted-twenty dollars. The small gift box is complementary.,happiness,1461,1,0,inform,One hundted-twenty dollars. The small gift box is complementary.,happiness,happiness,8,False
I am really sorry. I'll face the music.,depression,2456,4,1,inform,I am really sorry. I will face the music.,sadness,depression,0,False
"Oh dear, I’m late. I have to be in the office by eight a.m..",depression,2041,0,1,inform,"Honestly, Oh dear, I am late. I have to be in the office by eight a.m..",sadness,depression,0,True
"I'm sorry, but this was on sale, so I can only give you store credit.",depression,2014,5,0,directive,"I am sorry, but this was on sale, so I can only give you store credit.",sadness,depression,0,False
You are really tough. You got a deal.,depression,1661,14,0,inform,You are really tough. You got a deal.,sadness,depression,0,False
That’s highway robbery.,calm_neutral,1313,9,0,commissive,That is highway robbery.,no emotion,calm_neutral,11,False
I think he had water on the brain. This is bad.,anger,2216,2,0,inform,I think he had water on the brain. This is bad.,disgust,anger,3,False
"I can wait, but my toothache can't!",anger,1493,11,0,commissive,"I can wait, but my toothache cannot!",anger,anger,3,False
Really? How much is it?,excitement,807,11,1,question,Really? How much is it?,surprise,excitement,10,False
Really? How did you get the chance?,excitement,393,3,1,question,Really? How did you get the chance?,surprise,excitement,10,False
"Really, it's so beautiful.",anxiety,1909,1,1,inform,"Really, it is so beautiful.",fear,anxiety,1,False
OK. Then I'll be expecting you.,happiness,1101,13,1,inform,OK. Then I will be expecting you.,happiness,happiness,8,False
Come on! I'll pay you back on Tuesday.,anger,1440,2,1,directive,Come on! I will pay you back on Tuesday.,anger,anger,3,False
I'm standing in front of an exquisite work of art!,happiness,207,2,0,inform,I am standing in front of an exquisite work of art!,happiness,happiness,8,False
"I am sorry, uh, we will change yours for a new one.",depression,1589,4,0,inform,"I am sorry, uh, we will change yours for a new one.",sadness,depression,0,False
"Really? I've seen that movie, too.",excitement,1743,2,0,question,"Really? I have seen that movie, too.",surprise,excitement,10,False
"Yes, my brakes are not working well.",calm_neutral,743,1,1,inform,"Yes, my brakes are not working well.",no emotion,calm_neutral,11,False
No. That price would hardly cover the cost.,depression,1282,9,1,commissive,No. That price would hardly cover the cost.,sadness,depression,0,False
"You went out and bought khakis, too!",anger,271,4,1,inform,"You went out and bought khakis, too!",anger,anger,3,False
I'm Chen Liang.,calm_neutral,2185,4,1,inform,I am Chen Liang.,no emotion,calm_neutral,11,False
"That’s amazing! You got a good pay here, didn’t you?",excitement,1183,2,1,question,"Lately, that is amazing! you got a good pay here, did not you?",surprise,excitement,10,True
I don't know. But this is definitely the last straw.,depression,1970,8,0,inform,"Lately, i do not know. but this is definitely the last straw.",sadness,depression,0,True
Really? That's nice.,excitement,1626,1,1,question,Really? That is nice.,surprise,excitement,10,False
"He treats everyone pretty poorly, but the way he treats me really takes the cake!",anger,269,9,1,inform,"He treats everyone pretty poorly, but the way he treats me really takes the cake!",anger,anger,3,False
"I think you're being a bit optimistic. If you met them, you'd understand.",anger,127,16,0,inform,"I think you are being a bit optimistic. If you met them, you would understand.",disgust,anger,3,False
"Honey, I've got good news for you.",happiness,2133,0,1,inform,"Honey, I have got good news for you.",happiness,happiness,8,False
You speak really well.,happiness,75,4,1,inform,"Honestly, You speak really well.",happiness,happiness,8,True
"Yes, I am. I really don't know anyone.",calm_neutral,1747,1,1,inform,"Yes, I am. I really do not know anyone.",no emotion,calm_neutral,11,False
I really feel sorry for that rhumba boy if he ever identifies himself.,depression,383,5,0,inform,I really feel sorry for that rhumba boy if he ever identifies himself.,sadness,depression,0,False
He is not answering. You'd better check his pulse and breathing.,anxiety,433,3,0,directive,He is not answering. You would better check his pulse and breathing.,fear,anxiety,1,False
"You've just scratched my car. Oh, God, a paint was scratched off.",anger,2517,2,1,inform,"Honestly, You have just scratched my car. Oh, God, a paint was scratched off.",anger,anger,3,True
"Definitely. It's a wonderful meal. Thank you, honey.",excitement,449,6,0,inform,"Definitely. It is a wonderful meal. Thank you, honey.",surprise,excitement,10,False
"Oh, really? No wonder that she looks quite depressed recently.",excitement,1840,1,1,inform,"Oh, really? No wonder that she looks quite depressed recently.",surprise,excitement,10,False
What a pity! I missed it again.,depression,1106,3,1,inform,"Honestly, What a pity! I missed it again.",sadness,depression,0,True
Umm I think you have a small fever.,calm_neutral,524,5,1,inform,Umm I think you have a small fever.,no emotion,calm_neutral,11,False
How about seeing a play? I hear Hamlet is on at the National Theater.,happiness,1997,2,1,directive,How about seeing a play? I hear Hamlet is on at the National Theater.,happiness,happiness,8,False
I really don't think it's any of your business.,anger,1542,6,0,directive,"Lately, i really do not think it is any of your business.",anger,anger,3,True
Same here. I have't brought any new clothes for three months.,calm_neutral,2376,2,1,inform,Same here. I have't brought any new clothes for three months.,no emotion,calm_neutral,11,False
That doesn’t make any sense.,depression,825,11,1,inform,That does not make any sense.,sadness,depression,0,False
I don't think that you're done.,anger,1520,4,1,inform,I do not think that you are done.,anger,anger,3,False
Really? I will slow down then.,excitement,1762,10,1,question,Really? I will slow down then.,surprise,excitement,10,False
"It doesn’t matter. Oh, God, I have only four dollars in my wallet. Is that possible for me to buy one?",excitement,887,7,0,question,"It does not matter. Oh, God, I have only four dollars in my wallet. Is that possible for me to buy one?",surprise,excitement,10,False
Just alright? She's fabulous!,happiness,1305,4,0,inform,"Lately, just alright? she is fabulous!",happiness,happiness,8,True
How in the world did you guess that? Did someone tell you already?,excitement,1950,2,0,question,How in the world did you guess that? Did someone tell you already?,surprise,excitement,10,True
And why are you yarning now? Are you bored?,anger,2514,4,0,question,And why are you yarning now? Are you bored?,anger,anger,3,False
Why should I wear a skirt? Or a dress?,anger,1549,16,1,question,Why should I wear a skirt? Or a dress?,anger,anger,3,False
"It's your turn, sir. Sorry to keep you waiting.",depression,1802,0,1,directive,"It is your turn, sir. Sorry to keep you waiting.",sadness,depression,0,False
No! I have been expecting this moment for a long time. I mean my answer is ' yes '.,happiness,799,5,1,commissive,No! I have been expecting this moment for a long time. I mean my answer is ' yes '.,happiness,happiness,8,False
Don't make such a fuss. I'm sure you will like today's programme.,calm_neutral,254,6,1,inform,Do not make such a fuss. I am sure you will like today's programme.,no emotion,calm_neutral,11,False
I think it is the worst one I have ever seen.,anger,113,4,1,inform,I think it is the worst one I have ever seen.,disgust,anger,3,False
Really? Thank you.,excitement,2379,4,1,question,Really? Thank you.,surprise,excitement,10,False
At what age do children start school in your country?,calm_neutral,1894,0,0,question,At what age do children start school in your country?,no emotion,calm_neutral,11,False
That's the cutest little doll I've ever seen in my life!,excitement,1891,2,0,inform,"Lately, that is the cutest little doll i have ever seen in my life!",surprise,excitement,10,True
"Yes, in Paris, France.",calm_neutral,1243,9,1,inform,"Yes, in Paris, France.",no emotion,calm_neutral,11,False
"Yeah, a number of times.",depression,1970,6,0,inform,"Yeah, a number of times.",sadness,depression,0,False
What's this? Essential oil? Wow! This stuff is expensive.,excitement,2368,2,1,question,What is this? Essential oil? Wow! This stuff is expensive.,surprise,excitement,10,True
"Oh, any chance of a table by the window? My wife loves the bird's eye view. I want it to be a celebration.",happiness,1623,9,0,directive,"Oh, any chance of a table by the window? My wife loves the bird's eye view. I want it to be a celebration.",happiness,happiness,8,False
Then shall we keep pure friendship?,depression,1936,15,0,directive,Then shall we keep pure friendship? and it's affecting me deeply,sadness,depression,0,True
You mean I won't get a raise until recession ends?,anger,971,4,0,question,You mean I will not get a raise until recession ends?,anger,anger,3,False
But that still sounds expensive.,depression,1374,8,1,inform,But that still sounds expensive.,sadness,depression,0,False
Are you? I thought you had something to drink at her home.,excitement,1591,3,0,question,Are you? I thought you had something to drink at her home.,surprise,excitement,10,False
That's amazing. What tips did your trainer give you?,happiness,2074,6,1,question,That is amazing. What tips did your trainer give you?,happiness,happiness,8,False
"Really? Wow, it is great.",excitement,408,1,0,question,"Really? Wow, it is great.",surprise,excitement,10,False
OK. Don't forget to call Susan.,happiness,1350,13,0,directive,OK. Do not forget to call Susan.,happiness,happiness,8,False
What's on the program?,happiness,229,6,1,question,What is on the program?,happiness,happiness,8,False
"To be honest, it was horrible! My manager is such a pain in the neck!",anger,269,3,1,inform,"To be honest, it was horrible! My manager is such a pain in the neck!",anger,anger,3,False
And why are you yarning now? Are you bored?,anger,2514,4,0,question,And why are you yarning now? Are you bored?,anger,anger,3,False
Thank you very much.,anxiety,1783,11,0,commissive,Thank you very much.,fear,anxiety,1,False
"Look, Danny. The Four Great Inventions!",excitement,1329,2,0,inform,"Look, Danny. The Four Great Inventions!",surprise,excitement,10,False
Just two days ago it was thirty five. How can it be sixty?,excitement,701,13,0,question,Just two days ago it was thirty five. How can it be sixty?,surprise,excitement,10,False
"So, you want it delivered the day after tomorrow?",calm_neutral,2276,6,1,question,"So, you want it delivered the day after tomorrow?",no emotion,calm_neutral,11,False
Avril Lavigen!,excitement,2512,2,0,inform,Avril Lavigen!,surprise,excitement,10,False
