text,emotion,dialog_idx,utterance_idx,speaker,act
The savings will be worth the short wait. See you next weekend.,happiness,18,7,0,inform
How much is this?,no emotion,19,0,1,question
You mean the large one or the small one?,no emotion,19,1,0,question
The large one.,no emotion,19,2,1,inform
They're on special this week. They've been reduced to five dollars.,no emotion,19,3,0,inform
Is this the only kind you have?,no emotion,19,4,1,question
No. We have some that are different in style but not in color. They're over there. Do you see the sign?,no emotion,19,5,0,question
"Oh, yes. I think I'll look at those over there before I decide.",no emotion,19,6,1,inform
Very well. Just take your time.,no emotion,19,7,0,directive
Are you ready for a second?,no emotion,20,0,0,question
"No, I'm afraid we'll have to cancel the order. I'm not sure whether it agrees with me.",sadness,20,1,1,inform
Would you like anything else?,no emotion,20,2,0,question
I'd prefer swordfish steak.,no emotion,20,3,1,directive
I'm sorry. It's out of season now.,happiness,20,4,0,commissive
"Oysters, please.",no emotion,20,5,1,directive
"Hi, I’m the super intendent of this building. What can I do for you?",no emotion,21,0,1,question
"Hi, I’m Paul. Could you show me the apartment on the first floor?",no emotion,21,1,0,directive
Sure. Let’s go.,no emotion,21,2,1,commissive
Umm I like this one. How much is the rent?,no emotion,21,3,0,question
Eight fifty dollars a month.,no emotion,21,4,1,inform
Does the rent include utilities?,no emotion,21,5,0,question
No. Utilities are extra.,no emotion,21,6,1,inform
Where’s the laundry room?,no emotion,21,7,0,question
It’s on the other side of this floor.,no emotion,21,8,1,inform
What’s your rule about pets?,no emotion,21,9,0,question
We allow one or two pets but you have to pay a three hundred dollas deposit.,no emotion,21,10,1,inform
How come?,no emotion,21,11,0,question
"If your pet ruins the apartment walls or carpet we’ll keep your pet deposit. If not, we’ll return your deposit when you move out.",no emotion,21,12,1,inform
Who takes care of bug control?,no emotion,21,13,0,question
We do. We will spray the apartments before you move in.,no emotion,21,14,1,inform
Thank you very much for taking your time. I’m still deciding. I will call you tomorrow.,happiness,21,15,0,inform
How do you put this seat back? I know there is a lever somewhere.,no emotion,22,0,0,question
What are you doing?,no emotion,22,1,1,question
"I'm getting dressed, what does it look like?",no emotion,22,2,0,question
It looks like you are about to get dressed. Did you forget we are in a car on the road?,no emotion,22,3,1,question
I'm good at this. Nobody will see anything.,no emotion,22,4,0,inform
Are you kidding? You're going to cause an accident just from people gawking!,no emotion,22,5,1,directive
"All right, pull over at that service station and I'll dress in the men's room.",no emotion,22,6,0,commissive
That will be my pleasure.,happiness,22,7,1,inform
I am looking for a pan.,no emotion,23,0,1,inform
No problem. What size would you like?,no emotion,23,1,0,question
A big one would be nice.,no emotion,23,2,1,inform
How about this one? It's our biggest — sixteen' in diameter.,no emotion,23,3,0,directive
"Oh, yes, I like that one, but it's too heavy.",happiness,23,4,1,commissive
"OK, try this one. It's made of aluminum.",no emotion,23,5,0,directive
"Oh, yes! This is much better. But it has an aluminum handle.",happiness,23,6,1,commissive
"Here you go. Same pan, but with a state-of-the-art, heat-resistant plastic handle.",no emotion,23,7,0,inform
Yes. That's perfect. I'll take it.,happiness,23,8,1,inform
Great. Will that be cash or credit?,no emotion,23,9,0,question
"Oh, wait a minute. What about a lid for the pan?",no emotion,23,10,1,question
I'm sorry. I forgot to show you the lid. It comes with the pan.,no emotion,23,11,0,inform
That's all the general information of our company. I think you already have good knowledge about our company.,no emotion,24,0,0,inform
"Yes, I have an overall understanding.",no emotion,24,1,1,inform
"When we have the final results, we will call you.",no emotion,24,2,0,directive
Then when will I get a reply at the latest?,no emotion,24,3,1,question
"Umm if you pass the interview, the personnel department will inform you within two weeks.",no emotion,24,4,0,inform
"But if I don't pass, will you call me?",no emotion,24,5,1,question
"I'm sorry we won't. You can wait for two weeks. If you don't get a telephone call, it means that you weren't successful.",no emotion,24,6,0,inform
Then do I have the chance to get this job?,no emotion,24,7,1,question
"I'm sorry but I can't make the final decision myself, and I have to discuss it with other interviewers.",no emotion,24,8,0,directive
"I know. No matter what the result will be, I have learned a lot from our conversation.",no emotion,24,9,1,inform
Your mentality is very good and that's great.,happiness,24,10,0,inform
Thanks for giving me the opportunity of this interview.,happiness,24,11,1,inform
My pleasure.,happiness,24,12,0,inform
Are we going to have dinner tonight?,no emotion,25,0,0,question
What are you planning on making?,no emotion,25,1,1,question
I'm not cooking dinner.,no emotion,25,2,0,inform
The only way you're eating tonight is if you cook.,no emotion,25,3,1,directive
I'm not sure what to cook for dinner.,no emotion,25,4,0,commissive
I don't know. What do you want to eat?,no emotion,25,5,1,question
I have a taste for some chicken and potatoes.,no emotion,25,6,0,inform
That sounds delicious.,happiness,25,7,1,inform
So are you planning on cooking it?,no emotion,25,8,0,question
I already told you that I'm not cooking tonight.,no emotion,25,9,1,inform
I'll cook dinner.,no emotion,25,10,0,directive
I already know. Start cooking.,no emotion,25,11,1,commissive
I'd like to help pitch in with dinner.,no emotion,26,0,1,directive
Really? You're joking.,surprise,26,1,0,commissive
No. I'd like to do something special for you on your birthday.,no emotion,26,2,1,inform
"I'd like that. Alright, put on this apron first.",no emotion,26,3,0,directive
"OK... Now how can I help, hon?",no emotion,26,4,1,question
"Hmm, let me see... Boil some water.",no emotion,26,5,0,inform
Easy. I could do that with my eyes closed. ( after a while ) Done.,no emotion,26,6,1,inform
"Not bad. OK, now take some meat and potatoes from the fridge.",no emotion,26,7,0,inform
How many potatoes do you need?,no emotion,26,8,1,question
Three. And bring four bell peppers.,no emotion,26,9,0,directive
Gotcha... OK. Here they are.,no emotion,26,10,1,commissive
"Now wash them, then dice the potatoes and bell peppers.",no emotion,26,11,0,directive
Where's the peeler?,no emotion,26,12,1,question
Where should I sit?,no emotion,27,0,1,question
Why don't you sit in the back with me?,no emotion,27,1,0,directive
Umm OK.,no emotion,27,2,1,commissive
"By the way, what's your last name? I forgot what it is.",no emotion,27,3,0,question
It's Lin. It's spelled L-I-N.,no emotion,27,4,1,inform
R-I-N?,no emotion,27,5,0,question
"My pronunciation is not very good. It's L-I-N, Lin.",no emotion,27,6,1,inform
I got it. Mary Lin.,no emotion,27,7,0,inform
Lin is a common Chinese last name.,no emotion,27,8,1,inform
"Hi, Elvin. How are the new programmers I got for you?",no emotion,28,0,1,question
Stay away from me.,anger,28,1,0,inform
Are you still mad about your nose? How is it?,no emotion,28,2,1,question
"I'm serious, Zina. Back off. I have a bottle of pepper spray in my pocket.",anger,28,3,0,inform
"That won't be necessary, Elvin. Look, I want to apologize for your nose. I'm sorry.",no emotion,28,4,1,inform
Why are you being so nice to me? Don't think for a second that I trust you.,anger,28,5,0,inform
"Look, Cindy. This is a photograph I took during my trip to Australia.",no emotion,29,0,0,inform
"Let me see it, can I? This is a good photograph. Who are these people?",no emotion,29,1,1,question
They’re people I met during the trip. That’s the ship we traveled on.,no emotion,29,2,0,inform
What a beautiful ship! Who’s this?,no emotion,29,3,1,question
That’s the man I told you about. Remember?,no emotion,29,4,0,question
Ah yes. The one who offered you a job in Australia.,no emotion,29,5,1,inform
That’s right.,no emotion,29,6,0,inform
"Umm, who’s this?",no emotion,29,7,1,question
Guess!,no emotion,29,8,0,inform
"It’s not you, is it?",no emotion,29,9,1,question
"That’s right. I grew a beard during the trip, but I shaved it off when I came home.",no emotion,29,10,0,inform
Why did you shave it off?,no emotion,29,11,1,question
My wife didn’t like it!,no emotion,29,12,0,inform
It's Sunday today.,no emotion,30,0,0,inform
"Yes, I know.",no emotion,30,1,1,inform
Umm I think we should have a house cleaning today. What's your opinion?,no emotion,30,2,0,question
"Oh, no. We just did it last week.",no emotion,30,3,1,inform
Come on. What do you want to do? Washing clothes or cleaning the house?,no emotion,30,4,0,question
I'd rather wash the clothes.,no emotion,30,5,1,inform
OK. Here is the laundry.,no emotion,30,6,0,directive
"Oh, My God! So much!",disgust,30,7,1,commissive
Don't worry. I'll help you with it later.,no emotion,30,8,0,directive
"Excuse me, do you have A tale of Two Cities? I'd like a copy of it.",no emotion,31,0,0,directive
Who is the author?,no emotion,31,1,1,question
Charles Dickens.,no emotion,31,2,0,inform
"Sorry, we're sold out right now. Please come back next week.",sadness,31,3,1,commissive
"Ok, Thanks.",no emotion,31,4,0,inform
What's your opinion about childless couples? Will you choose to have no kids?,no emotion,32,0,1,question
"To be honest, I wouldn't.",no emotion,32,1,0,inform
Why? Do you have to make a choice now?,no emotion,32,2,1,question
Umm not really. But it has puzzled me for a long time.,no emotion,32,3,0,inform
What's the puzzle?,no emotion,32,4,1,question
"My wife and I prefer to have no kids, but my mother-in-law is very traditional and wants grandkids.",no emotion,32,5,0,inform
"Oh, I see. I think the older generation tend to think in a different way.",no emotion,32,6,1,inform
Yes. It seems she can never accept a childless marriage. We had a fight last night.,no emotion,32,7,0,inform
"Oh, really? Maybe she is just eager to see her grandchildren.",surprise,32,8,1,question
But it's absolutely our own business to have a child or not.,no emotion,32,9,0,inform
Definitely.,no emotion,32,10,1,inform
I often overhear our neighbor fighting about how to raise their kid and I really don't want kids to spoil our happiness.,no emotion,32,11,0,inform
"Don't worry. I think in most cases, children are the glue that keeps a family together.",no emotion,32,12,1,inform
I guess you're right. But I still prefer to have no child.,no emotion,32,13,0,inform
Sure. You can fully enjoy your time together.,no emotion,32,14,1,inform
"Welcome, sir, what can I do for you?",no emotion,33,0,1,question
I want to buy some records.,no emotion,33,1,0,inform
Whose record do you want?,no emotion,33,2,1,question
Are there the records of Michael Jackson?,no emotion,33,3,0,question
His records have been sold out. The new copies will be available next week.,no emotion,33,4,1,inform
Oh. it's too late. Maybe I should go to other video stores to have a look.,no emotion,33,5,0,inform
"Professor Wang, what is non-tariff barrier?",no emotion,34,0,1,question
Non-tariff barrier is another mean to restrict imports.,no emotion,34,1,0,inform
Can you give an example?,no emotion,34,2,1,question
"For example, some countries restrict imports by quantitative restriction.",no emotion,34,3,0,inform
This is used to protect local industries or to achieve certain political objectives.,no emotion,34,5,0,inform
"Oh, Are there other means?",no emotion,34,6,1,question
Technical barriers are set for imported goods.,no emotion,34,7,0,inform
"Umm…. This is designed to exclude them from domestic market, isn't it?",no emotion,34,8,1,question
"Yes, some countries may use some of the unnecessary health rules to exclude foreign food.",no emotion,34,9,0,inform
You look tired.,no emotion,35,0,1,inform
"Yeah, I’ve been working so much overtime lately.",no emotion,35,1,0,inform
Really? How come?,surprise,35,2,1,question
My boss gave me a big project. I had to have it finished by this morning. It was so difficult!,no emotion,35,3,0,inform
You shouldn’t work so hard.,no emotion,35,4,1,directive
"I know. But hard work pays off, you know.",no emotion,35,5,0,commissive
What do you mean?,no emotion,35,6,1,question
Maybe now I’ll get that promotion I was hoping for.,happiness,35,7,0,inform
I have a package to post today.,no emotion,36,0,1,directive
"Yes, what's in the package, madam?",no emotion,36,1,0,question
"Well, it has a cassette record... a cassette tape.",no emotion,36,2,1,inform
Umm how would you like to send it?,no emotion,36,3,0,question
By airmail please.,no emotion,36,4,1,inform
Do you want to insure it?,no emotion,36,5,0,question
"Yes, I'd like to insure it for twenty dollars. How much shall I pay altogether?",no emotion,36,6,1,question
Three dollars.,no emotion,36,7,0,inform
Pardon me. Could you help me?,no emotion,37,0,1,directive
Of course. How can I help you?,no emotion,37,1,0,question
I am looking for a sweater.,no emotion,37,2,1,inform
What size do you wear?,no emotion,37,3,0,question
"Medium, I think.",no emotion,37,4,1,inform
Here. How do you like this one?,no emotion,37,5,0,question
It's pretty. Can I try it on?,happiness,37,6,1,directive
You can try it on in the fitting room over there.,no emotion,37,7,0,commissive
"I'd like to see that pen, please.",no emotion,38,0,0,directive
You mean this one?,no emotion,38,1,1,question
"Umm No, the other one in the brown case.",no emotion,38,2,0,inform
"Oh, this one... Here.",no emotion,38,3,1,inform
May I try it?,no emotion,38,4,0,directive
It's very smooth. I'll take it.,no emotion,38,6,0,inform
Cash or credit?,no emotion,38,7,1,question
"Cash, please.",no emotion,38,8,0,inform
My car has broken down. Could someone come right away and check it?,no emotion,39,0,0,directive
Where are you now?,no emotion,39,1,1,question
"I am on Route eighty, a few miles east of the University of Utah.",no emotion,39,2,0,inform
What does your car look like?,no emotion,39,3,1,question
It is a red Audi.,no emotion,39,4,0,inform
"Hi, Jenny. You look like you are in a hurry to somewhere. Where are you going?",no emotion,40,0,0,question
I am going to the bank. I need to cash some checks.,no emotion,40,1,1,inform
That's great. We can go to the bank together.,happiness,40,2,0,directive
Why are you going there?,no emotion,40,3,1,question
I will go to Japan on business for five days next Tuesday. I want to exchange some Japanese yen.,no emotion,40,4,0,inform
I see. Will you bring a lot of money with you?,no emotion,40,5,1,question
Not really. I plan to bring some cash and withdraw money at the ATM in Japan.,no emotion,40,6,0,inform
Do you have the bank card in Japan?,no emotion,40,7,1,question
Nope. You can use the credit card to withdraw the money in foreign countries.,no emotion,40,8,0,inform
That sounds really convenient. Do you pay extra money to enjoy this service?,happiness,40,9,1,question
No. It is free of charge.,no emotion,40,10,0,inform
Great! I will apply for a credit card when I go to the bank later.,happiness,40,11,1,commissive
I think we are running out of time. The bank is going to close soon.,happiness,40,12,0,inform
Thank you for your letter.,happiness,41,0,1,inform
Is your waist any better?,no emotion,41,1,0,question
"Yes, I’m feeling very well these days.",happiness,41,2,1,inform
I’m glad you are getting better.,happiness,41,3,0,inform
And I was glad to receive your letter.,happiness,41,4,1,inform
Then when will you be back again?,no emotion,41,5,0,question
I will be back again next Wednesday.,no emotion,41,6,1,inform
Umm I hope to see you at that time again. Bye.,no emotion,41,7,0,directive
We’re going to the movies. Will you join us?,no emotion,42,0,0,directive
I’m very sorry I can’t.,no emotion,42,1,1,commissive
Umm why not?,no emotion,42,2,0,question
I’m afraid I have some business to attend to.,no emotion,42,3,1,inform
Then would you like to have lunch with us?,no emotion,42,4,0,directive
I’d love to but I have to help John with his math problems right now.,no emotion,42,5,1,commissive
Would you like me to give you a lift?,no emotion,42,6,0,directive
"No, thanks. His home is not far and I can walk there.",no emotion,42,7,1,commissive
Come on. It’s no trouble at all.,no emotion,42,8,0,directive
"OK, thank you.",happiness,42,9,1,commissive
"Would you like to take a look at the menu, sir?",no emotion,43,0,1,question
Yes. Thank you.,happiness,43,1,0,inform
Would you care for a drink before you order?,no emotion,43,2,1,question
A glass of Qingdao beer.,no emotion,43,3,0,inform
"Yes, sir. I'll bring it over. Have you decided what you'd like, sir?",no emotion,43,4,1,question
Will you make some recommendation?,no emotion,43,5,0,directive
Is that the Japanese Restaurant?,no emotion,44,0,0,question
Speaking. May I help you?,no emotion,44,1,1,question
What kind of food do you serve?,no emotion,44,2,0,question
"We serve a great variety of popular Japanese dishes in set courses, and also many meat dishes.",no emotion,44,3,1,inform
I see. That sounds fine. Umm until what time are you open?,no emotion,44,4,0,question
We are open until ten but our last order for dinner is at nine:thirty p.m.,no emotion,44,5,1,inform
Fine. Well be there before then.,no emotion,44,6,0,directive
"Thank you, sir. We look forward to welcoming you.",happiness,44,7,1,commissive
"Hello, Jane. I'm really glad to meet you here.",happiness,45,0,0,inform
"I'm glad too. Steven, I want to tell you that I'm going to divorce my husband.",happiness,45,1,1,inform
"I'm so surprised, Jane. Umm why did you decide to end your marriage suddenly?",surprise,45,2,0,question
We don't get along well with each other and fight a lot.,no emotion,45,3,1,inform
I didn't know that. I thought that you were happy together.,no emotion,45,4,0,inform
"That isn't true. Actually, we have been separated for six months.",no emotion,45,5,1,inform
"I can't believe it. But if you both determine to divorce, I hope you will have an amicable split.",no emotion,45,6,0,inform
"Thank you, Steven. I accept your advice.",happiness,45,7,1,directive
"Good evening, welcome to Rainbow Restaurant. May I take your coat, please?",no emotion,46,0,1,directive
"Yes, thank you so much.",happiness,46,1,0,commissive
Have you booked already?,no emotion,46,2,1,question
"Yes, my table is for seven and it's near the window.",no emotion,46,3,0,inform
"OK, sir. I will show you your table.",no emotion,46,4,1,inform
I heard you and James are engaged at last.,no emotion,47,0,0,inform
"Yes, we are.",no emotion,47,1,1,inform
When are you getting married?,no emotion,47,2,0,question
In the spring.,no emotion,47,3,1,inform
"Oh, lovely. Where's the wedding going to be?",happiness,47,4,0,question
"Well.. we're not sure yet, probably in Saint. Albans.",no emotion,47,5,1,inform
"Oh, yes, your parents live there, don't they?",no emotion,47,6,0,question
"Yes, that's right.",no emotion,47,7,1,inform
Where are you going to live after you're married?,no emotion,47,8,0,question
We're going to buy a flat or a small house somewhere in South London.,no emotion,47,9,1,inform
Are you going to give up your job?,no emotion,47,10,0,question
You bought a compact car?,no emotion,48,0,1,question
"No, I borrowed it.",no emotion,48,1,0,inform
"Let me guess, from Sarah. It looks like something she would drive.",no emotion,48,2,1,inform
"You guessed right. Besides, the color violet is a little girly for me.",no emotion,48,3,0,inform
I love it. It's so festive! And where did you get that cup? It's got the same logo as the car.,happiness,48,4,1,question
"Hi, what brings you to my office today?",no emotion,49,0,0,question
"I’ve been getting really short of breath, and my coach wanted to have a doctor check me out.",no emotion,49,1,1,inform
Have you had the flu lately?,no emotion,49,2,0,question
"No, I have been pretty healthy. I just have trouble taking a really deep breath.",no emotion,49,3,1,inform
Have you ever been tested for allergies?,no emotion,49,4,0,question
"Umm…. Peaches make me break out, but I don’t have any other allergies.",no emotion,49,5,1,inform
Does this happen all the time or maybe a little more in the cold weather?,no emotion,49,6,0,question
"I’ve noticed that it is worse when I am under stress, like during finals week.",no emotion,49,7,1,inform
I feel that you should see a pulmonary specialist to check for asthma.,no emotion,49,8,0,directive
"I appreciate the referral, doctor.",no emotion,49,9,1,commissive
"Hello, Jack here.",no emotion,50,0,0,inform
"Hello, Jack. It's Mary. What are you doing in your office?",no emotion,50,1,1,question
I am working. I often work late on Thursdays. I am busy this week.,no emotion,50,2,0,inform
Would you like to come and have dinner with us on Friday?,no emotion,50,3,1,directive
"Tomorrow? No, I'm afraid I wouldn't be able to. I'm going out of the town on business.",no emotion,50,4,0,commissive
What about Saturday?,no emotion,50,5,1,directive
"Sorry, I never go out on Saturday evening. I always watch football on Saturday evening.",no emotion,50,6,0,commissive
Will you come round next Tuesday?,no emotion,50,7,1,directive
